TestID	VariantID	Project	TestClass	TestName	TrueOracle	GenOracle	Time	Corr	Incorr	BuildErr	RunErr	TestFailure
0	0	orientechnologies/orientdb	LuceneSpatialMiscFunctionsTest	testEnvelope	"assertEquals(next.field(""STR""),""STR"");"	assertNotNull(next);	21.27338671684265	0	1	0	0	0
1	0	orientechnologies/orientdb	LuceneSpatialMiscFunctionsTest	testDistance	"assertThat(next.<Double>field(""STR"")).isEqualTo(0.0015056772638228177);"	assertNotNull(next);	21.83649706840515	0	1	0	0	0
3	0	orientechnologies/orientdb	LuceneSpatialMiscFunctionsTest	testWktPolygon	assertEquals(shapeinstanceofJtsGeometry,true);	assertNotNull(shape);	21.375575065612793	0	1	0	0	0
4	0	orientechnologies/orientdb	BinaryComparatorEqualsTest	testDatetime	assertTrue(comparator.isEqual(field(OType.DATETIME,now),field(OType.STRING,format.format(now))));	assertTrue(isEqual(new OBinaryField(new Date(10l)), new OBinaryField(now)));	26.450119972229004	0	0	1	0	0
5	0	orientechnologies/orientdb	BinaryComparatorEqualsTest	testBinary	assertTrue(comparator.isEqual(field(OType.BINARY,b1),field(OType.BINARY,b1)));	assertTrue(isEqual(new OBinaryField(b1), new OBinaryField(b1))));	23.68205690383911	0	0	1	0	0
6	0	orientechnologies/orientdb	BinaryComparatorEqualsTest	testLinks	assertTrue(comparator.isEqual(field(OType.LINK,newORecordId(1,2)),field(OType.LINK,newORecordId(1,2))));	assertEquals(iFirstValue.byteValue(),iSecondValue.byteValue());	32.027889013290405	0	0	1	0	0
7	0	orientechnologies/orientdb	BinaryComparatorEqualsTest	testDecimal	assertTrue(comparator.isEqual(field(OType.DECIMAL,newBigDecimal(10)),field(OType.DECIMAL,newBigDecimal(10))));	"assertThat(isEqual(new OBinaryField(""1010""), new OBinaryField(""1010""))).isTrue();"	27.186537265777588	0	0	1	0	0
8	0	orientechnologies/orientdb	BinaryComparatorEqualsTest	testBoolean	assertTrue(comparator.isEqual(field(OType.BOOLEAN,true),field(OType.BOOLEAN,true)));	assertTrue(isEqual(firstValue, secondValue));	31.13756012916565	0	0	1	0	0
9	0	orientechnologies/orientdb	BinaryComparatorEqualsTest	testBinaryFieldCopy	assertEquals(f.type,OType.BYTE);	assertEquals(f.copy().getBytes(),bytes.copy());	25.968740940093994	0	0	1	0	0
10	0	orientechnologies/orientdb	CommandSerializationUTF8Test	testRightSerializationEncoding	assertEquals(query.toStream().length,66);	assertNotNull(byteArray);	30.06415295600891	0	0	1	0	0
11	0	orientechnologies/orientdb	OJsonWithCustom	testCustomField	"assertEquals(doc.<String>field(""STR""),doc1.field(""STR""));"	assertEquals(doc.<RET_FIELD_VALUE>,doc1.<RET_FIELD_VALUE>);	27.457947969436646	0	0	1	0	0
12	0	orientechnologies/orientdb	OJsonWithCustom	testCustomFieldDisabled	"assertEquals(doc.<String>field(""STR""),doc1.field(""STR""));"	"assertEquals(value,""expectedValue"");"	25.533329963684082	0	0	1	0	0
13	0	orientechnologies/orientdb	OChainIndexFetchTest	testFetchChaninedIndex	assertEquals(0,res.size());	assertTrue(res.isEmpty());	25.331251859664917	0	0	1	0	0
14	0	orientechnologies/orientdb	NestedInsertTest	testEmbeddedValueDate	assertNotNull(embedded);	assertNotNull(embedded);	25.414772033691406	0	0	1	0	0
15	0	orientechnologies/orientdb	NestedInsertTest	testLinkedNested	assertNotNull(ln);	"assertEquals(""a name"",ln.field(""name""));"	25.668349027633667	0	0	1	0	0
16	0	orientechnologies/orientdb	ORecordSerializerBinaryTest	testGetTypedPropertyOfTypeAny	assertEquals(setValue,value);	assertEquals(setValue,value);	24.665225982666016	0	0	1	0	0
17	0	orientechnologies/orientdb	ORecordSerializerBinaryTest	testGetTypedFiledSimple	assertEquals(setValue,value);	assertEquals(setValue,value);	25.032279014587402	0	0	1	0	0
18	0	orientechnologies/orientdb	ORecordSerializerBinaryTest	testGetFieldNamesFromEmbedded	"assertTrue(fieldNames.contains(""STR""));"	"assertEquals(new HashSet<>(Arrays.asList(""TestField"", ""TestField2"")),fieldNames);"	25.433130979537964	0	0	1	0	0
19	0	orientechnologies/orientdb	ORecordSerializerBinaryTest	testGetTypedFieldFromEmbedded	assertEquals(setValue,testValue);	assertEquals(setValue,testValue);	25.53731083869934	0	0	1	0	0
20	0	orientechnologies/orientdb	ORecordSerializerBinaryTest	testGetTypedEmbeddedFromEmbedded	assertEquals(setValue,testValue);	"assertNotNull(serializer.deserializeFieldFromEmbedded(embeddedBytesViaGet.getBytes(), embeddedBytesViaGet.getOffset(),""InnerTestFields"", rootBytes[0]));"	26.336108684539795	0	0	1	0	0
21	0	orientechnologies/orientdb	ORecordSerializerBinaryTest	testGetFieldFromEmbeddedList	assertEquals(setValue,deserializedValue);	assertEquals(setValue,deserializedValue);	27.614649057388306	0	0	1	0	0
22	0	orientechnologies/orientdb	ORecordSerializerBinaryTest	testGetFieldFromEmbeddedMap	assertEquals(setValue,deserializedValue);	assertEquals(setValue,deserializedValue);	26.225893259048462	0	0	1	0	0
23	0	orientechnologies/orientdb	DateBinaryComparatorTest	testDateJavaClassPreparedStatement	assertTrue(result.size()==1);	assertNotNull(result);	26.314672708511353	0	0	1	0	0
24	0	orientechnologies/orientdb	OCommandExecutorSQLCreateLinkTest	testBasic	assertEquals(result.size(),2);	assertEquals(2,result.size());	290.47823882102966	0	0	1	0	0
25	0	orientechnologies/orientdb	OCommandExecutorSQLCreateLinkTest	testInverse	assertEquals(result.size(),2);	assertEquals(2,result.size());	5743.0958342552185	0	0	1	0	0
26	0	orientechnologies/orientdb	OResultSerializationTest	testSimpleEmbeddedDoc	assertEquals(document.getPropertyNames(),extr.getPropertyNames());	"assertEquals(2,extr.getProperty(""embed"").getPropertyNames().size());"	48.63412690162659	0	0	1	0	0
27	0	orientechnologies/orientdb	OResultSerializationTest	testMapOfEmbeddedDocument	assertEquals(1,mapS.size());	assertNotNull(mapS);	26.042766094207764	0	0	1	0	0
28	0	orientechnologies/orientdb	OCommandExecutorSQLDropPropertyTest	testIfExists	"assertTrue(schema.getClass(""STR"").existsProperty(""STR""));"	"assertTrue(testIfExistsClass.existsProperty(""name""));"	27.06211495399475	0	0	1	0	0
29	0	orientechnologies/orientdb	OClassImplTest	testSetAbstractClusterNotChanged	assertEquals(oClass.getDefaultClusterId(),oldClusterId);	assertEquals(oldClusterId,oClass.getDefaultClusterId());	33.44522714614868	0	0	1	0	0
30	0	orientechnologies/orientdb	OClassImplTest	testSetAbstractShouldCreateNewClusters	assertFalse(oClass.getDefaultClusterId()==-1);	assertEquals(1,oClass.getDefaultClusterId());	32.22106313705444	0	0	1	0	0
31	0	orientechnologies/orientdb	OClassImplTest	testCreateNoLinkedClass	"assertNotNull(oClass.getProperty(""STR""));"	"assertNotNull(oClass.getProperty(""some""));"	24.505228996276855	0	0	1	0	0
32	0	orientechnologies/orientdb	OClassImplTest	testCreatePropertyIdKeep	assertEquals(id,prop.getId());	assertEquals(id,prop.getId());	23.924368143081665	0	0	1	0	0
34	0	orientechnologies/orientdb	OClassImplTest	testChangeTypeProperty	assertNotEquals(id,prop.getId());	assertEquals(id,prop.getId());	25.490882873535156	0	0	1	0	0
35	0	orientechnologies/orientdb	OClassImplTest	testRenameBackProperty	assertNotEquals(id,prop.getId());	"assertEquals(""test1"",oClass.getProperty(id).getName());"	24.103924989700317	0	0	1	0	0
36	0	orientechnologies/orientdb	OClassImplTest	testFindById	assertEquals(prop.getId(),global.getId());	assertNotNull(db);	24.96252202987671	0	0	1	0	0
37	0	orientechnologies/orientdb	OClassImplTest	testFindByIdDrop	assertEquals(id,global.getId());	assertNull(global);	28.655526161193848	0	0	1	0	0
38	0	orientechnologies/orientdb	OClassImplTest	testTypeAny	assertEquals(result.size(),1);	assertTrue(result.size() == 1);	31.75040602684021	0	0	1	0	0
39	0	orientechnologies/orientdb	OClassImplTest	testAlterCustomAttributeInClass	"assertEquals(""STR"",oClass.getCustom(""STR""));"	"assertEquals(""value1"",result);"	34.6365909576416	0	0	1	0	0
40	0	orientechnologies/orientdb	OCommandExecutorSQLCreateClassTest	testCreateWithSuperclasses	assertNotNull(userVertex);	assertNotNull(userVertex);	33.97503113746643	0	0	1	0	0
41	0	orientechnologies/orientdb	OCommandExecutorSQLScriptTest	testQuery	assertEquals(qResult.size(),3);	assertNotNull(qResult);	27.998247861862183	0	0	1	0	0
42	0	orientechnologies/orientdb	OCommandExecutorSQLScriptTest	testTx	assertNotNull(qResult);	"assertNotNull(qResult.field(""test""));"	29.95018696784973	0	0	1	0	0
43	0	orientechnologies/orientdb	OCommandExecutorSQLScriptTest	testReturnExpanded	assertNotNull(qResult);	"assertEquals(""sql script test"",jsonObject.getString(""test""));"	29.492342948913574	0	0	1	0	0
45	0	orientechnologies/orientdb	OCommandExecutorSQLScriptTest	testReturnObject	assertNotNull(result);	assertEquals(1,result.size());	29.019563913345337	0	0	1	0	0
46	0	orientechnologies/orientdb	OCommandExecutorSQLScriptTest	testIncrementAndLet	"assertThat(qResult.get(0).<Long>field(""STR"")).isEqualTo(4L);"	"assertEquals(4,qResult.get(0).<Integer>field(""weight"").intValue());"	27.618331909179688	0	0	1	0	0
47	0	orientechnologies/orientdb	OCommandExecutorSQLScriptTest	testIf1	assertNotNull(qResult);	"assertEquals(""OK"",qResult.toString());"	26.419228076934814	0	0	1	0	0
48	0	orientechnologies/orientdb	OCommandExecutorSQLScriptTest	testIf2	assertNotNull(qResult);	"assertEquals(""OK"",qResult.toString());"	26.098236083984375	0	0	1	0	0
49	0	orientechnologies/orientdb	OCommandExecutorSQLScriptTest	testIf3	assertNotNull(qResult);	"assertEquals(""OK"",qResult);"	26.641841888427734	0	0	1	0	0
50	0	orientechnologies/orientdb	OCommandExecutorSQLScriptTest	testNestedIf2	assertNotNull(qResult);	"assertEquals(""OK"",focalMethod.execute());"	26.78993511199951	0	0	1	0	0
51	0	orientechnologies/orientdb	OCommandExecutorSQLScriptTest	testNestedIf3	assertNotNull(qResult);	"assertEquals(""OK"",qResult.toString());"	26.34628987312317	0	0	1	0	0
52	0	orientechnologies/orientdb	OCommandExecutorSQLScriptTest	testIfRealQuery	assertNotNull(qResult);	"assert.assertEquals(""FAIL"",qResult);"	24.063472270965576	0	0	1	0	0
53	0	orientechnologies/orientdb	OCommandExecutorSQLScriptTest	testIfMultipleStatements	assertNotNull(qResult);	"assertEquals(""OK"",qResult.toString());"	28.44119119644165	0	0	1	0	0
54	0	orientechnologies/orientdb	OCommandExecutorSQLScriptTest	testScriptSubContext	assertNotNull(qResult);	assertThrows(com.orientechnologies.orient.core.exception.OCommandExecutionException.class,() -> {);	28.411250114440918	0	0	1	0	0
55	0	orientechnologies/orientdb	OCommandExecutorSQLScriptTest	testQuotedRegex	assertEquals(result.size(),1);	assertNotNull(result);	24.936161994934082	0	0	1	0	0
56	0	orientechnologies/orientdb	OCommandExecutorSQLScriptTest	testParameters1	assertTrue(rs.hasNext());	assertEquals(1,1);	24.090298175811768	0	0	1	0	0
57	0	orientechnologies/orientdb	OCommandExecutorSQLScriptTest	testPositionalParameters	assertTrue(rs.hasNext());	assertTrue(rs.hasNext());	23.279995918273926	0	0	1	0	0
58	0	orientechnologies/orientdb	ODocumentFieldConversionTest	testConversionAlsoWithWrongType	"assertTrue(doc.field(""STR"")instanceofFloat);"	"assertEquals(2,doc.field(""float""));"	23.404167890548706	0	0	1	0	0
