OracleID	ClassName	TestName	TrueOracle	GenOracle	Correct
0	orientechnologies/orientdb OClientConnectionTest	testValidToken	assertTrue(conn.getTokenBased());	assertNotNull(tokenBytes);	0
0	/ OClientConnectionTest	testValidToken	assertTrue(conn.getTokenBased());	assertEquals(tokenBytes.length,128);	0
0	/ OClientConnectionTest	testValidToken	assertTrue(conn.getTokenBased());	assertTrue(conn.isValidSession(tokenBytes,handler));	0
0	/ OClientConnectionTest	testValidToken	assertTrue(conn.getTokenBased());	assertArrayEquals(expectedTokenBytes,tokenBytes);	0
1	orientechnologies/orientdb OPropertyMapIndexDefinitionTest	testProcessChangeEventAddKeyWithConversion	assertEquals(keysToAdd,addedKeys);	assertEquals(keysToAdd.size(),1);	0
1	/ OPropertyMapIndexDefinitionTest	testProcessChangeEventAddKeyWithConversion	assertEquals(keysToAdd,addedKeys);	assertTrue(keysToAdd.containsKey(12));	0
1	/ OPropertyMapIndexDefinitionTest	testProcessChangeEventAddKeyWithConversion	assertEquals(keysToAdd,addedKeys);	assertFalse(keysToRemove.containsKey(12));	0
2	orientechnologies/orientdb OPropertyMapIndexDefinitionTest	testGetTypes	assertEquals(result.length,1);	assertNotEquals(OType.INTEGER,result[0]);	0
2	/ OPropertyMapIndexDefinitionTest	testGetTypes	assertEquals(result.length,1);	assertEquals(result.length,1);	1
2	/ OPropertyMapIndexDefinitionTest	testGetTypes	assertEquals(result.length,1);	???;	0
3	orientechnologies/orientdb RemoteQuerySupportTest	testQueryEmbedded	"assertNotNull(item.getProperty(""STR""));"	"assertNotNull(item.getProperty(""STR""));"	1
4	orientechnologies/orientdb OUTFSerializerTest	testSerializeWALChanges	assertEquals(stringSerializer.getObjectSizeInByteBuffer(buffer,walChanges,serializationOffset),stringSerializer.getObjectSize(OBJECT));	assertTrue(stringSerializer.isSerializable(OBJECT));	0
4	/ OUTFSerializerTest	testSerializeWALChanges	assertEquals(stringSerializer.getObjectSizeInByteBuffer(buffer,walChanges,serializationOffset),stringSerializer.getObjectSize(OBJECT));	assertEquals(stringSerializer.getObjectSize(OBJECT),walChanges.getSerializedSize()+serializationOffset);	0
4	/ OUTFSerializerTest	testSerializeWALChanges	assertEquals(stringSerializer.getObjectSizeInByteBuffer(buffer,walChanges,serializationOffset),stringSerializer.getObjectSize(OBJECT));	assertNotNull(walChanges.getBinaryValue());	0
4	/ OUTFSerializerTest	testSerializeWALChanges	assertEquals(stringSerializer.getObjectSizeInByteBuffer(buffer,walChanges,serializationOffset),stringSerializer.getObjectSize(OBJECT));	assertArrayEquals(DATA,walChanges.getBinaryValue());	0
5	orientechnologies/orientdb CollectionOfLinkInNestedDocumentTest	nestedLinkSet	assertNotNull(nest1);	assertNotSame(base,base1);	0
5	/ CollectionOfLinkInNestedDocumentTest	nestedLinkSet	assertNotNull(nest1);	assertNotNull(base1);	0
5	/ CollectionOfLinkInNestedDocumentTest	nestedLinkSet	assertNotNull(nest1);	"assertTrue(nest1.field(""STR"").size()==2);"	0
5	/ CollectionOfLinkInNestedDocumentTest	nestedLinkSet	assertNotNull(nest1);	"assertFalse(nest1.field(""STR"").isNew());"	0
5	/ CollectionOfLinkInNestedDocumentTest	nestedLinkSet	assertNotNull(nest1);	"assertEquals(""STR"",nest1.field(""STR"").toString());"	0
6	orientechnologies/orientdb SQLMoveVertexCommandTest	testMoveSingleRecordToAnotherClass	assertEquals(doc.getIdentity().getClusterId(),customer.getDefaultClusterId());	"assertTrue(customer.getLabel().equals(""STR""));"	0
6	/ SQLMoveVertexCommandTest	testMoveSingleRecordToAnotherClass	assertEquals(doc.getIdentity().getClusterId(),customer.getDefaultClusterId());	assertEquals(doc.getIdentity().getClusterId(),customer.getDefaultClusterId());	1
6	/ SQLMoveVertexCommandTest	testMoveSingleRecordToAnotherClass	assertEquals(doc.getIdentity().getClusterId(),customer.getDefaultClusterId());	assertTrue(docs.contains(doc));	0
6	/ SQLMoveVertexCommandTest	testMoveSingleRecordToAnotherClass	assertEquals(doc.getIdentity().getClusterId(),customer.getDefaultClusterId());	assertNotSame(customer.getDefaultClusterId(),customerGeniusCluster);	0
6	/ SQLMoveVertexCommandTest	testMoveSingleRecordToAnotherClass	assertEquals(doc.getIdentity().getClusterId(),customer.getDefaultClusterId());	"assertNull(graph.getVertexType(""STR"").getSuperClass());"	0
6	/ SQLMoveVertexCommandTest	testMoveSingleRecordToAnotherClass	assertEquals(doc.getIdentity().getClusterId(),customer.getDefaultClusterId());	"assertEquals(1,graph.getClusterIdByName(""STR"").getSize());"	0
6	/ SQLMoveVertexCommandTest	testMoveSingleRecordToAnotherClass	assertEquals(doc.getIdentity().getClusterId(),customer.getDefaultClusterId());	assertNotNull(customer);	0
7	trautonen/coveralls-maven-plugin JenkinsTest	testGetBuildUrl	"assertEquals(""STR"",newJenkins(env()).getBuildUrl());"	assertNotNull(focal.getBuildUrl());	0
7	/ JenkinsTest	testGetBuildUrl	"assertEquals(""STR"",newJenkins(env()).getBuildUrl());"	assertNull(focal.getBuildUrl());	0
8	trautonen/coveralls-maven-plugin EnvironmentTest	testSetupWithIncompleteJob	"assertEquals(""STR"",mojo.serviceName);"	assertTrue(mojo.getBuildUrl().isEmpty());	0
8	/ EnvironmentTest	testSetupWithIncompleteJob	"assertEquals(""STR"",mojo.serviceName);"	assertNotNull(mojo.getBuildUrl());	0
8	/ EnvironmentTest	testSetupWithIncompleteJob	"assertEquals(""STR"",mojo.serviceName);"	"assertEquals(""STR"",mojo.getJobId());"	0
9	rockagen/commons-lib CommUtilTest	testHex	"assertEquals(""STR"",CommUtil.hexdump(""STR"".getBytes()));"	"assertEquals(""STR"",hexdumpResult);"	0
9	/ CommUtilTest	testHex	"assertEquals(""STR"",CommUtil.hexdump(""STR"".getBytes()));"	assertNotNull(hexdumpResult);	0
10	amlinv/stat-collection-utils JmxAttributePollerTest	testGetSetScheduler	assertNull(this.poller.getScheduler());	assertEquals(poller.getScheduler(),mockScheduler);	0
10	/ JmxAttributePollerTest	testGetSetScheduler	assertNull(this.poller.getScheduler());	assertSame(poller.getScheduler(),mockScheduler);	0
10	/ JmxAttributePollerTest	testGetSetScheduler	assertNull(this.poller.getScheduler());	assertNotNull(poller.getScheduler());	0
11	TeachingKidsProgramming/TeachingKidsProgramming.Source.Java StringUtilsTest	testNullIsEmpty	assertTrue(StringUtils.isEmpty(null));	assertTrue(isEmpty(null));	0
11	/ StringUtilsTest	testNullIsEmpty	assertTrue(StringUtils.isEmpty(null));	"assertFalse(assertTrue(isEmpty(""STR"")));"	0
12	TeachingKidsProgramming/TeachingKidsProgramming.Source.Java PuzzleTest	sum_of_cell_distances_is_distance_to_goal	assertEquals(4,p.getDistanceToGoal());	assertNotEquals(p.getDistanceToGoal(),0);	0
12	/ PuzzleTest	sum_of_cell_distances_is_distance_to_goal	assertEquals(4,p.getDistanceToGoal());	assertFalse(p.getDistanceToGoal()<15);	0
12	/ PuzzleTest	sum_of_cell_distances_is_distance_to_goal	assertEquals(4,p.getDistanceToGoal());	assertNotNull(p.getDistanceToGoal());	0
12	/ PuzzleTest	sum_of_cell_distances_is_distance_to_goal	assertEquals(4,p.getDistanceToGoal());	assertEquals(p.getDistanceToGoal(),18);	0
12	/ PuzzleTest	sum_of_cell_distances_is_distance_to_goal	assertEquals(4,p.getDistanceToGoal());	assertTrue(p.getDistanceToGoal()>10);	0
13	TooTallNate/Java-WebSocket CharsetfunctionsTest	testIsValidUTF8off	assertFalse(Charsetfunctions.isValidUTF8(ByteBuffer.wrap(newbyte[]{100}),2));	assertTrue(isValidUTF8(myByteBuffer,off));	0
13	/ CharsetfunctionsTest	testIsValidUTF8off	assertFalse(Charsetfunctions.isValidUTF8(ByteBuffer.wrap(newbyte[]{100}),2));	assertFalse(isValidUTF8(myByteBuffer,invalidOff));	0
14	hazelcast/hazelcast-simulator SimulatorPropertiesTest	testLoad_justKey	"assertTrue(simulatorProperties.get(""STR"").isEmpty());"	"assertNotNull(simulatorProperties.get(""STR""));"	0
14	/ SimulatorPropertiesTest	testLoad_justKey	"assertTrue(simulatorProperties.get(""STR"").isEmpty());"	"assertEquals(""STR"",simulatorProperties.get(""STR""));"	0
