OracleID	ClassName	TestName	TrueOracle	GenOracle	Correct
0	orientechnologies/orientdb OClientConnectionTest	testValidToken	assertTrue(conn.getTokenBased());	assertNotNull(server.getClientConnectionManager());	0
0	/ OClientConnectionTest	testValidToken	assertTrue(conn.getTokenBased());	assertFalse(conn.getTokenBased());	0
0	/ OClientConnectionTest	testValidToken	assertTrue(conn.getTokenBased());	assertEquals(1,conn.getId());	0
0	/ OClientConnectionTest	testValidToken	assertTrue(conn.getTokenBased());	"assertEquals(""STR"",db.getUser().getName());"	0
0	/ OClientConnectionTest	testValidToken	assertTrue(conn.getTokenBased());	assertTrue(handler.isTokenValid(tokenBytes));	0
0	/ OClientConnectionTest	testValidToken	assertTrue(conn.getTokenBased());	assertNull(conn.getSession());	0
1	orientechnologies/orientdb OPropertyMapIndexDefinitionTest	testProcessChangeEventAddKeyWithConversion	assertEquals(keysToAdd,addedKeys);	assertEquals(keysToAdd,addedKeys);	1
1	/ OPropertyMapIndexDefinitionTest	testProcessChangeEventAddKeyWithConversion	assertEquals(keysToAdd,addedKeys);	assertEquals(removedKeys,keysToRemove);	0
1	/ OPropertyMapIndexDefinitionTest	testProcessChangeEventAddKeyWithConversion	assertEquals(keysToAdd,addedKeys);	assertTrue(keysToAdd.containsKey(12));	0
1	/ OPropertyMapIndexDefinitionTest	testProcessChangeEventAddKeyWithConversion	assertEquals(keysToAdd,addedKeys);	assertFalse(keysToRemove.containsKey(12));	0
2	orientechnologies/orientdb OPropertyMapIndexDefinitionTest	testGetTypes	assertEquals(result.length,1);	???;	0
3	orientechnologies/orientdb RemoteQuerySupportTest	testQueryEmbedded	"assertNotNull(item.getProperty(""STR""));"	"assertFalse(item.getProperty(""STR"").containsField(""STR""));"	0
3	/ RemoteQuerySupportTest	testQueryEmbedded	"assertNotNull(item.getProperty(""STR""));"	"assertEquals(""STR"",item.getProperty(""STR"").getProperty(""STR""));"	0
3	/ RemoteQuerySupportTest	testQueryEmbedded	"assertNotNull(item.getProperty(""STR""));"	???;	0
3	/ RemoteQuerySupportTest	testQueryEmbedded	"assertNotNull(item.getProperty(""STR""));"	"assertNotNull(item.getProperty(""STR""));"	1
